Tjänstekategori;Tjänstegrupp;Tjänst;Sign. Tj.Äg;Tj.nr;SV;PV;TV;Produkter/Aktiviteter;Beskrivning;Prismodell;Debiteringsintervall;Pris;Volym;Årsintäkt HK;Tjänsteägare;Processledare;Samverkan;KPI:er;Processbeskrivning (J/N);Processen dokumenterad (J/N)
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Pensionslösning ägare;Utveckling av pensionskonceptet Expertrådgivning Förvalta pensionskonceptet;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Personalbokslut;Lägger beställning av underlag Sammanställning till M&K;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Koncernövergripande HR-policies;Ta fram/utveckla Bevaka/underhålla Uppdatera Informera och utbilda;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Personalrelaterad risk och säkerhet;Bakgrundskontroller, stöd vid svåra individärenden, stödvid hot & våld, förberedande utredningar vid misstanke om brott;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Uppsägning/Avsked av medarbetare HK;Stöd till ansvarig chef Analys och bedömning Kontakta förhandlingschef Administrerar uppsägningar;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Arbetsrättslig rådgivning HK;Stöd till ansvariga chefer i sitt chefskap att hantera personalsituationer och organisationsförändringar på ett arbetsrättsligt korrekt sätt;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Personalutredning HK;Utreder, kartlägger och bedömer stödbehov vid uppkomna situationer i medarbetargrupp;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Konflikthantering & krisstöd HK;Hjälp och stöd vid konflikter och kriser;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Coachning i chefsrollen HK;Coaching till chefer som behöver stöd i sitt chefskap, både i form av konkreta råd och gällande strategier och förhållningssätt;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Rehabilitering medarbetare HK;Stöd till ansvarig chef;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Rehabilitering praktiker HK;Stöd till affärscoacher. Rehabutredning och framtagning rehabplan för praktiker;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Praktikerservice;HR;Chefs- och medarbetarhandbok;Ja;;Bas;Bas;Bas;;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Coachning i chefsrollen;Ja;;Bas;Bas;Bas;;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;Bil;Drivmedelskort;Ja;;Plus;Plus;Plus;Skaffa drivmedelskort;;Fast pris per månad;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;Bil;Drivmedelskort;Ja;;Plus;Plus;Plus;Avsluta drivmedelskort;;Fast pris per månad;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;HR;Fackliga förhandlingar inför verksamhetsförändring;Ja;;Bas;Bas;Bas;;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;Bil;Förmånsbil/Firmabil;Ja;;Plus;Plus;Plus;Köpa förmånsbil/firmabil;;Fast pris per månad;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;Bil;Förmånsbil/Firmabil;Ja;;Plus;Plus;Plus;Avsluta förmånsbil/firmabil;;Fast pris per månad;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;Bil;Förmånsbil/Firmabil;Ja;;Plus;Plus;Plus;Utköp förmånsbil/firmabil;;Fast pris per månad;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;Bil;Förmånsbil/Firmabil;Ja;;Plus;Plus;Plus;Administrera förmånsbil/firmabil;Bevaka besiktningar, obetalda p-böter, körjournal (firmabil) ;Fast pris per månad;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;HR;HR-direkt;Ja;;Bas;Bas;Bas;;Grundläggande rådgivning via telefon och mail kring arbetsrätt, rekrytering, samarbetsfrågor, lönesättning, lönebildning, lönepolicy, rehabilitering, avveckling av personal, övergång av verksamhet, tolkning och tillämpning i frågor som rör anställningsvillkor, lagar och avtal.;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Intyg anställd/praktiker;Ja;;Bas;Bas;Bas;Utfärda Intyg (tex Arbetsgivarintyg, Tjänstgöringsintyg, samt bekräfta tjänstgöringsuppgifter till AFA, FK mm);;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
